"g","network","site","mean_final_mut_mat","mutualism","m_A","m_B","alpha","phi","theta_A","theta_B"
0.025,"AM_Izzo_mtcPA10_bin","B",0.884547750789611,"AM",0.7,0.7,0.05,0.5,"0-10","10-20"
0.025,"AM_Izzo_mtcPAcamp_bin","A",0.863659101273682,"AM",0.7,0.7,0.05,0.5,"0-10","10-20"
0.025,"AM_Izzo_mtcPAcamp_bin","B",0.858056338355066,"AM",0.7,0.7,0.05,0.5,"0-10","10-20"
0.025,"CC_Sazima_bin","A",0.800390704751246,"CC",0.7,0.7,0.05,0.5,"0-10","10-20"
0.025,"CC_Sazima_bin","B",0.806204334326055,"CC",0.7,0.7,0.05,0.5,"0-10","10-20"
0.025,"CC_Wicksten_1998_bin","A",0.796916005512228,"CC",0.7,0.7,0.05,0.5,"0-10","10-20"
0.025,"CC_Wicksten_1998_bin","B",0.798248461508526,"CC",0.7,0.7,0.05,0.5,"0-10","10-20"
0.025,"FA_Ricciardi_etal_2010_Bahowo_bin","A",0.824230380323323,"FA",0.7,0.7,0.05,0.5,"0-10","10-20"
0.025,"FA_Ricciardi_etal_2010_Bahowo_bin","B",0.834777407085146,"FA",0.7,0.7,0.05,0.5,"0-10","10-20"
0.025,"FA_Ricciardi_etal_2010_Bualo_bin","A",0.829855091731346,"FA",0.7,0.7,0.05,0.5,"0-10","10-20"
0.025,"FA_Ricciardi_etal_2010_Bualo_bin","B",0.841129289144421,"FA",0.7,0.7,0.05,0.5,"0-10","10-20"
0.025,"FA_Ricciardi_etal_2010_JalanMasuk_bin","A",0.819950490894356,"FA",0.7,0.7,0.05,0.5,"0-10","10-20"
0.025,"FA_Ricciardi_etal_2010_JalanMasuk_bin","B",0.83344343512886,"FA",0.7,0.7,0.05,0.5,"0-10","10-20"
0.025,"FA_Ricciardi_etal_2010_Likuan1_bin","A",0.83300033246158,"FA",0.7,0.7,0.05,0.5,"0-10","10-20"
0.025,"FA_Ricciardi_etal_2010_Likuan1_bin","B",0.844454472484086,"FA",0.7,0.7,0.05,0.5,"0-10","10-20"
0.025,"FA_Ricciardi_etal_2010_Mandolin_bin","A",0.872672156883382,"FA",0.7,0.7,0.05,0.5,"0-10","10-20"
0.025,"FA_Ricciardi_etal_2010_Mandolin_bin","B",0.869632279181096,"FA",0.7,0.7,0.05,0.5,"0-10","10-20"
0.025,"FA_Ricciardi_etal_2010_TanjungKopi_bin","A",0.856419242407848,"FA",0.7,0.7,0.05,0.5,"0-10","10-20"
0.025,"FA_Ricciardi_etal_2010_TanjungKopi_bin","B",0.842713840221312,"FA",0.7,0.7,0.05,0.5,"0-10","10-20"
0.025,"FP_Baird_1980_bin","A",0.801304528801064,"FP",0.7,0.7,0.05,0.5,"0-10","10-20"
0.025,"FP_Baird_1980_bin","B",0.8049471296015,"FP",0.7,0.7,0.05,0.5,"0-10","10-20"
0.025,"FP_Beehler_1983_bin","A",0.797430869709915,"FP",0.7,0.7,0.05,0.5,"0-10","10-20"
0.025,"FP_Beehler_1983_bin","B",0.78331688835586,"FP",0.7,0.7,0.05,0.5,"0-10","10-20"
0.025,"FP_Carlo_etal_2003_Caguana_bin","A",0.790850908622685,"FP",0.7,0.7,0.05,0.5,"0-10","10-20"
0.025,"FP_Carlo_etal_2003_Caguana_bin","B",0.802134766094927,"FP",0.7,0.7,0.05,0.5,"0-10","10-20"
0.025,"FP_Carlo_etal_2003_Fronton_bin","A",0.809994262026834,"FP",0.7,0.7,0.05,0.5,"0-10","10-20"
0.025,"FP_Carlo_etal_2003_Fronton_bin","B",0.810527306837743,"FP",0.7,0.7,0.05,0.5,"0-10","10-20"
0.025,"FP_Galetti&Pizo_1996_bin","A",0.787111968215527,"FP",0.7,0.7,0.05,0.5,"0-10","10-20"
